Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad, Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Algeria,20,25.9,39.5,4,44,390,4.3,7,6,6,1,1,5,0,1.62,1.38,3.00,1.38,2.77
Argentina,20,27.6,54.4,7,77,720,8.0,7,3,7,0,0,1,0,0.87,0.37,1.25,0.87,1.25
Australia,17,26.2,43.7,3,33,270,3.0,3,2,2,1,1,6,0,1.00,0.67,1.67,0.67,1.33
Belgium,20,25.6,52.6,5,55,480,5.3,6,4,6,0,0,2,0,1.13,0.75,1.87,1.13,1.87
Bosnia and Herzegovina,20,26.5,53.7,3,33,270,3.0,4,2,4,0,0,3,0,1.33,0.67,2.00,1.33,2.00
Brazil,21,27.6,53.4,7,77,660,7.3,11,9,10,1,1,4,0,1.50,1.23,2.73,1.36,2.59
Cameroon,20,26.8,44.3,3,33,270,3.0,1,1,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67
Chile,17,26.7,55.3,4,44,390,4.3,6,3,6,0,0,4,0,1.38,0.69,2.08,1.38,2.08
Colombia,22,27.2,47.6,5,55,450,5.0,12,10,10,2,2,2,0,2.40,2.00,4.40,2.00,4.00
Costa Rica,18,26.8,42.8,5,55,510,5.7,5,4,5,0,0,5,1,0.88,0.71,1.59,0.88,1.59
Côte d'Ivoire,19,29.1,55.3,3,33,270,3.0,4,3,4,0,0,7,0,1.33,1.00,2.33,1.33,2.33
Croatia,17,28.2,49.3,3,33,270,3.0,5,3,5,0,0,4,1,1.67,1.00,2.67,1.67,2.67
Ecuador,17,27.6,45.0,3,33,270,3.0,3,2,3,0,0,5,1,1.00,0.67,1.67,1.00,1.67
England,21,26.5,54.3,3,33,270,3.0,2,2,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
France,19,26.2,53.0,5,55,450,5.0,8,6,7,1,2,0,0,1.60,1.20,2.80,1.40,2.60
Germany,18,26.6,57.9,7,77,690,7.7,18,12,17,1,1,1,0,2.35,1.57,3.91,2.22,3.78
Ghana,20,25.4,48.7,3,33,270,3.0,4,4,4,0,0,6,0,1.33,1.33,2.67,1.33,2.67
Greece,17,28.5,47.3,4,44,390,4.3,3,1,2,1,1,5,1,0.69,0.23,0.92,0.46,0.69
Honduras,18,29.2,49.0,3,33,270,3.0,1,0,1,0,0,6,1,0.33,0.00,0.33,0.33,0.33
IR Iran,15,29.0,35.0,3,33,270,3.0,1,1,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
Italy,21,28.5,55.0,3,33,270,3.0,2,2,2,0,0,3,1,0.67,0.67,1.33,0.67,1.33
Japan,17,27.7,55.7,3,33,270,3.0,2,2,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
Korea Republic,17,25.1,52.3,3,33,270,3.0,3,3,3,0,0,6,0,1.00,1.00,2.00,1.00,2.00
Mexico,18,28.0,49.8,4,44,360,4.0,5,3,5,0,0,5,0,1.25,0.75,2.00,1.25,2.00
Netherlands,23,26.6,49.3,7,77,690,7.7,15,10,13,2,2,2,0,1.96,1.30,3.26,1.70,3.00
Nigeria,19,25.8,50.8,4,44,360,4.0,3,3,3,0,0,3,0,0.75,0.75,1.50,0.75,1.50
Portugal,21,28.7,50.7,3,33,270,3.0,3,1,3,0,0,2,1,1.00,0.33,1.33,1.00,1.33
Russia,16,28.1,49.3,3,33,270,3.0,2,2,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
Spain,22,28.0,56.0,3,33,270,3.0,4,3,3,1,1,3,0,1.33,1.00,2.33,1.00,2.00
Switzerland,18,25.7,47.8,4,44,390,4.3,7,6,7,0,0,2,0,1.62,1.38,3.00,1.62,3.00
United States,19,29.0,44.8,4,44,390,4.3,5,4,5,0,0,3,0,1.15,0.92,2.08,1.15,2.08
Uruguay,20,27.8,45.8,4,44,360,4.0,4,2,3,1,1,3,0,1.00,0.50,1.50,0.75,1.25
