,score,home_id,away_id,league_id,status,fixture_id,last_changed,away_name,location,added,scheduled,events,h2h,ft_score,date,et_score,competition_name,ht_score,home_name,competition_id,time,id,full_time,extra_time,half_time
0,May-00,1431,1432,793,FINISHED,0,6/14/18 17:00,Saudi Arabia,,6/14/18 14:55,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94397&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1431&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1432&key=sAyccMI0kNtc6o2t,May-00,6/14/18,,FIFA World Cup,Feb-00,Russia,362,FT,94397,1,,1
1,0 - 1,215,1434,793,FINISHED,0,6/15/18 14:01,Uruguay,,6/15/18 11:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94414&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=215&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1434&key=sAyccMI0kNtc6o2t,0 - 1,6/15/18,,FIFA World Cup,0 - 0,Egypt,362,FT,94414,2,,X
2,0 - 1,1435,1436,794,FINISHED,0,6/15/18 17:01,Iran,,6/15/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94420&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1435&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1436&key=sAyccMI0kNtc6o2t,0 - 1,6/15/18,,FIFA World Cup,0 - 0,Morocco,362,FT,94420,2,,X
3,3-Mar,1437,1438,794,FINISHED,0,6/15/18 19:58,Spain,,6/15/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94430&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1437&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1438&key=sAyccMI0kNtc6o2t,3-Mar,6/15/18,,FIFA World Cup,1-Feb,Portugal,362,FT,94430,X,,1
4,1-Feb,1439,1440,795,FINISHED,0,6/16/18 11:57,Australia,,6/16/18 09:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94466&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1439&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1440&key=sAyccMI0kNtc6o2t,1-Feb,6/16/18,,FIFA World Cup,0 - 0,France,362,FT,94466,1,,X
5,1-Jan,1443,1444,796,FINISHED,0,6/16/18 14:58,Iceland,,6/16/18 12:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94485&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1443&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1444&key=sAyccMI0kNtc6o2t,1-Jan,6/16/18,,FIFA World Cup,1-Jan,Argentina,362,FT,94485,X,,X
6,0 - 1,1441,1442,795,FINISHED,0,6/16/18 17:59,Denmark,,6/16/18 15:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94513&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1441&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1442&key=sAyccMI0kNtc6o2t,0 - 1,6/16/18,,FIFA World Cup,0 - 0,Peru,362,FT,94513,2,,X
7,Feb-00,211,1445,796,FINISHED,0,6/16/18 20:57,Nigeria,,6/16/18 18:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94530&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=211&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1445&key=sAyccMI0kNtc6o2t,Feb-00,6/16/18,,FIFA World Cup,Jan-00,Croatia,362,FT,94530,1,,1
8,0 - 1,1446,1447,797,FINISHED,0,6/17/18 14:00,Serbia,,6/17/18 11:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94573&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1446&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1447&key=sAyccMI0kNtc6o2t,0 - 1,6/17/18,,FIFA World Cup,0 - 0,Costa Rica,362,FT,94573,2,,X
9,0 - 1,1449,1450,798,FINISHED,0,6/17/18 16:55,Mexico,,6/17/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94590&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1449&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1450&key=sAyccMI0kNtc6o2t,0 - 1,6/17/18,,FIFA World Cup,0 - 1,Germany,362,FT,94590,2,,2
10,1-Jan,1448,208,797,FINISHED,0,6/17/18 19:59,Switzerland,,6/17/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94607&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1448&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=208&key=sAyccMI0kNtc6o2t,1-Jan,6/17/18,,FIFA World Cup,Jan-00,Brazil,362,FT,94607,X,,1
11,Jan-00,1451,1452,798,FINISHED,0,6/18/18 13:56,South Korea,,6/18/18 11:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94619&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1451&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1452&key=sAyccMI0kNtc6o2t,Jan-00,6/18/18,,FIFA World Cup,0 - 0,Sweden,362,FT,94619,1,,X
12,Mar-00,1453,1454,799,FINISHED,0,6/18/18 16:57,Panama,,6/18/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94625&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1453&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1454&key=sAyccMI0kNtc6o2t,Mar-00,6/18/18,,FIFA World Cup,0 - 0,Belgium,362,FT,94625,1,,X
13,2-Jan,1455,1456,799,FINISHED,0,6/18/18 19:56,England,,6/18/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94631&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1455&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1456&key=sAyccMI0kNtc6o2t,2-Jan,6/19/18,,FIFA World Cup,1-Jan,Tunisia,362,FT,94631,2,,X
14,2-Jan,1457,1458,800,FINISHED,0,6/19/18 13:58,Japan,,6/19/18 11:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94634&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1457&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1458&key=sAyccMI0kNtc6o2t,2-Jan,6/19/18,,FIFA World Cup,1-Jan,Colombia,362,FT,94634,2,,X
15,2-Jan,1459,1460,800,FINISHED,0,6/19/18 16:58,Senegal,,6/19/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94641&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1459&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1460&key=sAyccMI0kNtc6o2t,2-Jan,6/19/18,,FIFA World Cup,0 - 1,Poland,362,FT,94641,2,,2
16,1-Mar,1431,215,793,FINISHED,0,6/19/18 19:56,Egypt,,6/19/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94646&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1431&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=215&key=sAyccMI0kNtc6o2t,1-Mar,6/19/18,,FIFA World Cup,0 - 0,Russia,362,FT,94646,1,,X
17,Jan-00,1437,1435,794,FINISHED,0,6/20/18 13:59,Morocco,,6/20/18 11:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94652&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1437&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1435&key=sAyccMI0kNtc6o2t,Jan-00,6/20/18,,FIFA World Cup,Jan-00,Portugal,362,FT,94652,1,,1
18,Jan-00,1434,0,793,FINISHED,0,6/20/18 16:56,Saudi Arabia,,6/20/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94657&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1434&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=0&key=sAyccMI0kNtc6o2t,Jan-00,6/20/18,,FIFA World Cup,Jan-00,Uruguay,362,FT,94657,1,,1
19,0 - 1,1436,1438,794,FINISHED,0,6/20/18 19:59,Spain,,6/20/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94672&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1436&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1438&key=sAyccMI0kNtc6o2t,0 - 1,6/20/18,,FIFA World Cup,0 - 0,Iran,362,FT,94672,2,,X
20,1-Jan,1442,1440,795,FINISHED,0,6/21/18 13:54,Australia,,6/21/18 11:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94692&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1442&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1440&key=sAyccMI0kNtc6o2t,1-Jan,6/21/18,,FIFA World Cup,1-Jan,Denmark,362,FT,94692,X,,X
21,Jan-00,1439,1441,795,FINISHED,0,6/21/18 16:58,Peru,,6/21/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94700&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1439&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1441&key=sAyccMI0kNtc6o2t,Jan-00,6/21/18,,FIFA World Cup,Jan-00,France,362,FT,94700,1,,1
22,0 - 3,1443,211,796,FINISHED,0,6/21/18 19:57,Croatia,,6/21/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94705&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1443&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=211&key=sAyccMI0kNtc6o2t,0 - 3,6/21/18,,FIFA World Cup,0 - 0,Argentina,362,FT,94705,2,,X
23,Feb-00,1448,1446,797,FINISHED,0,6/22/18 13:59,Costa Rica,,6/22/18 11:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94717&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1448&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1446&key=sAyccMI0kNtc6o2t,Feb-00,6/22/18,,FIFA World Cup,0 - 0,Brazil,362,FT,94717,1,,X
24,Feb-00,1445,1444,796,FINISHED,0,6/22/18 16:59,Iceland,,6/22/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94724&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1445&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1444&key=sAyccMI0kNtc6o2t,Feb-00,6/22/18,,FIFA World Cup,0 - 0,Nigeria,362,FT,94724,1,,X
25,2-Jan,1447,208,797,FINISHED,0,6/22/18 19:58,Switzerland,,6/22/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94732&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1447&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=208&key=sAyccMI0kNtc6o2t,2-Jan,6/22/18,,FIFA World Cup,Jan-00,Serbia,362,FT,94732,2,,1
26,2-May,1453,1455,799,FINISHED,0,6/23/18 13:58,Tunisia,,6/23/18 11:58,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94756&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1453&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1455&key=sAyccMI0kNtc6o2t,2-May,6/23/18,,FIFA World Cup,1-Mar,Belgium,362,FT,94756,1,,1
27,2-Jan,1452,1450,798,FINISHED,0,6/23/18 16:58,Mexico,,6/23/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94773&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1452&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1450&key=sAyccMI0kNtc6o2t,2-Jan,6/23/18,,FIFA World Cup,0 - 1,South Korea,362,FT,94773,2,,2
28,1-Feb,1449,1451,798,FINISHED,0,6/23/18 20:00,Sweden,,6/23/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94781&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1449&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1451&key=sAyccMI0kNtc6o2t,1-Feb,6/23/18,,FIFA World Cup,0 - 1,Germany,362,FT,94781,1,,2
29,1-Jun,1456,1454,799,FINISHED,0,6/24/18 13:56,Panama,,6/24/18 11:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94824&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1456&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1454&key=sAyccMI0kNtc6o2t,1-Jun,6/24/18,,FIFA World Cup,May-00,England,362,FT,94824,1,,1
0,2-Feb,1458,1460,800,FINISHED,0,6/24/18 16:56,Senegal,,6/24/18 14:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94839&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1458&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1460&key=sAyccMI0kNtc6o2t,2-Feb,6/24/18,,FIFA World Cup,1-Jan,Japan,362,FT,94839,X,,X
1,0 - 3,1459,1457,800,FINISHED,0,6/24/18 20:00,Colombia,,6/24/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94862&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1459&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1457&key=sAyccMI0kNtc6o2t,0 - 3,6/24/18,,FIFA World Cup,0 - 1,Poland,362,FT,94862,2,,2
2,1-Feb,0,215,793,FINISHED,0,6/25/18 16:03,Egypt,,6/25/18 13:59,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94875&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=0&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=215&key=sAyccMI0kNtc6o2t,1-Feb,6/25/18,,FIFA World Cup,1-Jan,Saudi Arabia,362,FT,94875,1,,X
3,Mar-00,1434,1431,793,FINISHED,0,6/25/18 15:57,Russia,,6/25/18 13:59,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94876&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1434&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1431&key=sAyccMI0kNtc6o2t,Mar-00,6/25/18,,FIFA World Cup,Feb-00,Uruguay,362,FT,94876,1,,1
4,1-Jan,1436,1437,794,FINISHED,0,6/25/18 20:01,Portugal,,6/25/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94886&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1436&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1437&key=sAyccMI0kNtc6o2t,1-Jan,6/25/18,,FIFA World Cup,0 - 1,Iran,362,FT,94886,X,,2
