,home_team.id,home_team.name,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,away_team.id,away_team.name,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %,home_team.Rank,home_team_Avg. age,home_team.Total value,home_team.Points,away_team.Rank,away_team. age,away_team.Total value,away_team.Points
0,2.0,France,4.0,4.0,9.0,1.0,6.0,3.0,21.0,0.0,0.0,39%,3.0,0.0,1.0,344.0,280.0,81%,26.0,Argentina,4.0,1.0,10.0,5.0,6.0,4.0,15.0,4.0,1.0,61%,5.0,0.0,0.0,512.0,444.0,87%,3,26.9,€949.00m,1786,4,26.2,€581.70m,1767
1,19.0,Nigeria,3.0,5.0,9.0,1.0,4.0,5.0,20.0,3.0,0.0,33%,2.0,0.0,2.0,283.0,186.0,66%,26.0,Argentina,4.0,2.0,8.0,2.0,7.0,1.0,15.0,5.0,2.0,67%,3.0,0.0,2.0,572.0,471.0,82%,32,26.3,€268.75m,1510,4,26.2,€581.70m,1767
2,2.0,France,5.0,8.0,19.0,6.0,12.0,7.0,6.0,4.0,1.0,36%,2.0,0.0,3.0,345.0,289.0,84%,1.0,Belgium,3.0,5.0,9.0,1.0,6.0,3.0,16.0,5.0,1.0,64%,3.0,0.0,4.0,594.0,542.0,91%,3,26.9,€949.00m,1786,1,26.1,€381.00m,1828
3,6.0,Brazil,9.0,7.0,27.0,11.0,16.0,11.0,14.0,8.0,1.0,58%,2.0,0.0,2.0,521.0,463.0,89%,1.0,Belgium,3.0,4.0,9.0,2.0,4.0,5.0,16.0,4.0,0.0,42%,2.0,0.0,9.0,374.0,301.0,80%,2,27.7,€899.50m,1823,1,26.1,€381.00m,1828
4,10.0,England,2.0,6.0,11.0,3.0,6.0,5.0,11.0,7.0,3.0,46%,0.0,0.0,2.0,467.0,410.0,88%,1.0,Belgium,4.0,3.0,14.0,7.0,9.0,5.0,14.0,2.0,1.0,54%,2.0,0.0,1.0,547.0,477.0,87%,5,25.2,€1.26bn,1756,1,26.1,€381.00m,1828
5,2.0,France,6.0,0.0,7.0,1.0,2.0,5.0,13.0,2.0,1.0,34%,2.0,0.0,2.0,289.0,198.0,69%,3.0,Croatia,4.0,9.0,14.0,1.0,9.0,5.0,13.0,6.0,1.0,66%,1.0,0.0,3.0,528.0,440.0,83%,3,26.9,€949.00m,1786,15,27.7,€314.50m,1621
6,4.0,Russia,5.0,7.0,13.0,1.0,10.0,3.0,25.0,6.0,1.0,35%,1.0,0.0,1.0,400.0,259.0,65%,3.0,Croatia,3.0,11.0,18.0,4.0,12.0,6.0,18.0,8.0,0.0,65%,4.0,0.0,3.0,728.0,592.0,81%,35,26.9,€121.30m,1493,15,27.7,€314.50m,1621
7,26.0,Argentina,3.0,3.0,10.0,4.0,8.0,2.0,16.0,5.0,3.0,57%,3.0,0.0,2.0,499.0,397.0,80%,3.0,Croatia,5.0,6.0,14.0,3.0,7.0,7.0,22.0,2.0,3.0,43%,4.0,0.0,3.0,367.0,278.0,76%,4,26.2,€581.70m,1767,15,27.7,€314.50m,1621
8,18.0,Iceland,6.0,8.0,16.0,2.0,12.0,4.0,10.0,10.0,1.0,38%,3.0,0.0,0.0,314.0,226.0,72%,3.0,Croatia,2.0,8.0,14.0,4.0,4.0,10.0,11.0,5.0,2.0,62%,2.0,0.0,5.0,518.0,447.0,86%,60,24.7,€7.35m,1383,15,27.7,€314.50m,1621
9,2.0,France,5.0,5.0,12.0,2.0,7.0,6.0,16.0,5.0,0.0,55%,1.0,0.0,1.0,508.0,426.0,84%,20.0,Australia,1.0,3.0,6.0,2.0,4.0,2.0,19.0,1.0,0.0,45%,3.0,0.0,4.0,407.0,321.0,79%,3,26.9,€949.00m,1786,37,27.7,€34.75m,1487
10,21.0,Denmark,5.0,5.0,10.0,0.0,7.0,3.0,7.0,3.0,1.0,47%,2.0,0.0,3.0,453.0,388.0,86%,20.0,Australia,4.0,4.0,13.0,5.0,8.0,5.0,5.0,5.0,0.0,53%,0.0,0.0,5.0,504.0,423.0,84%,9,26.5,€302.50m,1655,37,27.7,€34.75m,1487
11,2.0,France,4.0,6.0,12.0,2.0,9.0,3.0,11.0,5.0,0.0,43%,2.0,0.0,2.0,396.0,308.0,78%,30.0,Peru,2.0,6.0,10.0,2.0,3.0,7.0,15.0,3.0,1.0,57%,2.0,0.0,3.0,513.0,416.0,81%,3,26.9,€949.00m,1786,22,29.2,€59.58m,1563
12,20.0,Australia,2.0,7.0,14.0,5.0,9.0,5.0,14.0,8.0,3.0,57%,4.0,0.0,1.0,526.0,459.0,87%,30.0,Peru,3.0,1.0,4.0,0.0,3.0,1.0,12.0,3.0,1.0,43%,2.0,0.0,2.0,409.0,329.0,80%,37,27.7,€34.75m,1487,22,29.2,€59.58m,1563
13,7.0,Uruguay,3.0,2.0,5.0,0.0,3.0,2.0,13.0,2.0,0.0,32%,0.0,0.0,4.0,273.0,183.0,67%,27.0,Portugal,5.0,8.0,20.0,7.0,6.0,14.0,13.0,10.0,1.0,68%,1.0,0.0,1.0,544.0,471.0,87%,16,27.6,€388.60m,1614,8,27.2,€780.50m,1660
14,22.0,Iran,2.0,4.0,7.0,1.0,3.0,4.0,16.0,1.0,1.0,26%,2.0,0.0,3.0,213.0,139.0,65%,27.0,Portugal,4.0,7.0,14.0,3.0,5.0,9.0,11.0,5.0,1.0,74%,4.0,0.0,1.0,608.0,528.0,87%,21,28.1,€74.38m,1573,8,27.2,€780.50m,1660
15,7.0,Uruguay,4.0,6.0,11.0,1.0,6.0,5.0,17.0,4.0,0.0,38%,2.0,0.0,0.0,311.0,199.0,64%,2.0,France,2.0,8.0,11.0,1.0,3.0,8.0,15.0,3.0,0.0,62%,2.0,0.0,4.0,516.0,417.0,81%,16,27.6,€388.60m,1614,3,26.9,€949.00m,1786
16,21.0,Denmark,2.0,1.0,5.0,2.0,1.0,4.0,10.0,4.0,1.0,32%,1.0,0.0,3.0,322.0,228.0,71%,2.0,France,3.0,7.0,11.0,1.0,4.0,7.0,10.0,2.0,1.0,68%,0.0,0.0,2.0,657.0,574.0,87%,9,26.5,€302.50m,1655,3,26.9,€949.00m,1786
17,7.0,Uruguay,3.0,6.0,13.0,4.0,9.0,4.0,10.0,3.0,1.0,47%,0.0,0.0,2.0,502.0,426.0,85%,23.0,Saudi Arabia,2.0,4.0,8.0,2.0,3.0,5.0,13.0,4.0,2.0,53%,0.0,0.0,2.0,550.0,478.0,87%,16,27.6,€388.60m,1614,53,26.8,€28.80m,1434
18,4.0,Russia,7.0,3.0,14.0,4.0,11.0,3.0,22.0,6.0,3.0,38%,1.0,0.0,0.0,345.0,251.0,73%,23.0,Saudi Arabia,0.0,3.0,6.0,3.0,4.0,2.0,10.0,2.0,1.0,62%,1.0,0.0,2.0,557.0,451.0,81%,35,26.9,€121.30m,1493,53,26.8,€28.80m,1434
19,7.0,Uruguay,6.0,6.0,16.0,4.0,8.0,9.0,17.0,4.0,0.0,57%,1.0,0.0,1.0,492.0,415.0,84%,4.0,Russia,1.0,1.0,3.0,1.0,2.0,1.0,18.0,2.0,2.0,43%,3.0,1.0,4.0,356.0,281.0,79%,16,27.6,€388.60m,1614,35,26.9,€121.30m,1493
20,9.0,Spain,9.0,7.0,23.0,7.0,14.0,9.0,5.0,6.0,1.0,78%,1.0,0.0,0.0,1115.0,1008.0,90%,4.0,Russia,1.0,4.0,7.0,2.0,5.0,2.0,19.0,5.0,1.0,22%,2.0,0.0,9.0,291.0,192.0,66%,7,25.9,€798.00m,1705,35,26.9,€121.30m,1493
21,9.0,Spain,5.0,12.0,18.0,1.0,13.0,5.0,5.0,7.0,1.0,74%,0.0,0.0,1.0,742.0,678.0,91%,31.0,Morocco,3.0,2.0,6.0,1.0,4.0,2.0,17.0,1.0,1.0,26%,6.0,0.0,2.0,245.0,189.0,77%,7,25.9,€798.00m,1705,24,27.0,€215.25m,1547
22,27.0,Portugal,2.0,4.0,10.0,4.0,4.0,6.0,19.0,5.0,1.0,45%,1.0,0.0,4.0,396.0,284.0,72%,31.0,Morocco,4.0,9.0,15.0,2.0,11.0,4.0,23.0,7.0,1.0,55%,1.0,0.0,1.0,467.0,357.0,76%,8,27.2,€780.50m,1660,24,27.0,€215.25m,1547
23,3.0,Croatia,6.0,7.0,20.0,7.0,8.0,12.0,5.0,5.0,2.0,53%,0.0,0.0,2.0,602.0,482.0,80%,21.0,Denmark,3.0,9.0,14.0,2.0,6.0,8.0,19.0,4.0,0.0,47%,1.0,0.0,5.0,530.0,419.0,79%,15,27.7,€314.50m,1621,9,26.5,€302.50m,1655
