,get,errors,results,parameters.league,parameters.season,parameters.team,paging.current,paging.total,response.league.id,response.league.name,response.league.country,response.league.logo,response.league.flag,response.league.season,response.team.id,response.team.name,response.team.logo,response.form,response.fixtures.played.home,response.fixtures.played.away,response.fixtures.played.total,response.fixtures.wins.home,response.fixtures.wins.away,response.fixtures.wins.total,response.fixtures.draws.home,response.fixtures.draws.away,response.fixtures.draws.total,response.fixtures.loses.home,response.fixtures.loses.away,response.fixtures.loses.total,response.goals.for.total.home,response.goals.for.total.away,response.goals.for.total.total,response.goals.for.average.home,response.goals.for.average.away,response.goals.for.average.total,response.goals.for.minute.0-15.total,response.goals.for.minute.0-15.percentage,response.goals.for.minute.16-30.total,response.goals.for.minute.16-30.percentage,response.goals.for.minute.31-45.total,response.goals.for.minute.31-45.percentage,response.goals.for.minute.46-60.total,response.goals.for.minute.46-60.percentage,response.goals.for.minute.61-75.total,response.goals.for.minute.61-75.percentage,response.goals.for.minute.76-90.total,response.goals.for.minute.76-90.percentage,response.goals.for.minute.91-105.total,response.goals.for.minute.91-105.percentage,response.goals.for.minute.106-120.total,response.goals.for.minute.106-120.percentage,response.goals.against.total.home,response.goals.against.total.away,response.goals.against.total.total,response.goals.against.average.home,response.goals.against.average.away,response.goals.against.average.total,response.goals.against.minute.0-15.total,response.goals.against.minute.0-15.percentage,response.goals.against.minute.16-30.total,response.goals.against.minute.16-30.percentage,response.goals.against.minute.31-45.total,response.goals.against.minute.31-45.percentage,response.goals.against.minute.46-60.total,response.goals.against.minute.46-60.percentage,response.goals.against.minute.61-75.total,response.goals.against.minute.61-75.percentage,response.goals.against.minute.76-90.total,response.goals.against.minute.76-90.percentage,response.goals.against.minute.91-105.total,response.goals.against.minute.91-105.percentage,response.goals.against.minute.106-120.total,response.goals.against.minute.106-120.percentage,response.biggest.streak.wins,response.biggest.streak.draws,response.biggest.streak.loses,response.biggest.wins.home,response.biggest.wins.away,response.biggest.loses.home,response.biggest.loses.away,response.biggest.goals.for.home,response.biggest.goals.for.away,response.biggest.goals.against.home,response.biggest.goals.against.away,response.clean_sheet.home,response.clean_sheet.away,response.clean_sheet.total,response.failed_to_score.home,response.failed_to_score.away,response.failed_to_score.total,response.penalty.scored.total,response.penalty.scored.percentage,response.penalty.missed.total,response.penalty.missed.percentage,response.penalty.total,response.lineups,response.cards.yellow.0-15.total,response.cards.yellow.0-15.percentage,response.cards.yellow.16-30.total,response.cards.yellow.16-30.percentage,response.cards.yellow.31-45.total,response.cards.yellow.31-45.percentage,response.cards.yellow.46-60.total,response.cards.yellow.46-60.percentage,response.cards.yellow.61-75.total,response.cards.yellow.61-75.percentage,response.cards.yellow.76-90.total,response.cards.yellow.76-90.percentage,response.cards.yellow.91-105.total,response.cards.yellow.91-105.percentage,response.cards.yellow.106-120.total,response.cards.yellow.106-120.percentage,response.cards.red.0-15.total,response.cards.red.0-15.percentage,response.cards.red.16-30.total,response.cards.red.16-30.percentage,response.cards.red.31-45.total,response.cards.red.31-45.percentage,response.cards.red.46-60.total,response.cards.red.46-60.percentage,response.cards.red.61-75.total,response.cards.red.61-75.percentage,response.cards.red.76-90.total,response.cards.red.76-90.percentage,response.cards.red.91-105.total,response.cards.red.91-105.percentage,response.cards.red.106-120.total,response.cards.red.106-120.percentage,new_form,form_percentage
1,teams/statistics,[],11,1,2010,2,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,2,France,https://media.api-sports.io/football/teams/2.png,"['D', 'L', 'L']",2,1,3,0,0,0,0,1,1,2,0,2,1,0,1,0.5,0.0,0.3,,,,,,,,,1.0,100.00%,,,,,,,4,0,4,2.0,0.0,1.3,,,1.0,25.00%,1.0,25.00%,,,1.0,25.00%,1.0,25.00%,,,,,0,1,0,,,0-2,,1,0,2,0,0,1,1,1,1,2,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
5,teams/statistics,[],11,1,2010,6,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,6,Brazil,https://media.api-sports.io/football/teams/6.png,"['W', 'W', 'D', 'W', 'L']",3,2,5,3,0,3,0,1,1,0,1,1,8,1,9,2.7,0.5,1.8,1.0,11.11%,1.0,11.11%,2.0,22.22%,3.0,33.33%,2.0,22.22%,,,,,,,2,2,4,0.7,1.0,0.8,,,,,,,1.0,25.00%,1.0,25.00%,2.0,50.00%,,,,,2,1,0,3-0,,,2-1,3,1,1,2,1,1,2,0,1,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 0, 1, 0]",0.6
6,teams/statistics,[],11,1,2010,7,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,7,Uruguay,https://media.api-sports.io/football/teams/7.png,"['D', 'W', 'W', 'W', 'D', 'L', 'L']",5,2,7,1,2,3,2,0,2,2,0,2,7,4,11,1.4,2.0,1.6,1.0,6.67%,2.0,13.33%,2.0,13.33%,2.0,13.33%,,,3.0,20.00%,1.0,6.67%,4.0,26.67%,8,0,8,1.6,0.0,1.1,,,2.0,20.00%,1.0,10.00%,1.0,10.00%,3.0,30.00%,1.0,10.00%,,,2.0,20.00%,3,1,0,2-1,0-3,2-3,,2,3,3,0,1,2,3,1,0,1,5,83.33%,1,16.67%,6,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 1, 1, 1, 0, 0, 0]",0.43
8,teams/statistics,[],11,1,2010,9,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,9,Spain,https://media.api-sports.io/football/teams/9.png,"['L', 'W', 'W', 'W', 'W', 'W', 'W']",3,4,7,2,4,6,0,0,0,1,0,1,3,5,8,1.0,1.3,1.1,,,2.0,25.00%,1.0,12.50%,1.0,12.50%,2.0,25.00%,1.0,12.50%,,,1.0,12.50%,1,1,2,0.3,0.3,0.3,,,,,,,2.0,100.00%,,,,,,,,,0,0,1,2-0,1-2,0-1,,2,2,1,1,2,3,5,1,0,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 1, 1, 1, 1, 1, 1]",0.86
9,teams/statistics,[],11,1,2010,10,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,10,England,https://media.api-sports.io/football/teams/10.png,"['D', 'D', 'W', 'L']",2,2,4,0,1,1,2,0,2,0,1,1,1,2,3,0.5,1.0,0.8,1.0,33.33%,1.0,33.33%,1.0,33.33%,,,,,,,,,,,1,4,5,0.5,2.0,1.3,,,1.0,20.00%,2.0,40.00%,,,2.0,40.00%,,,,,,,1,2,0,,0-1,,4-1,1,1,1,4,1,1,2,1,0,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1, 0]",0.25
11,teams/statistics,[],11,1,2010,12,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,12,Japan,https://media.api-sports.io/football/teams/12.png,"['W', 'L', 'W', 'D']",1,3,4,1,1,2,0,1,1,0,1,1,1,3,4,1.0,1.0,1.0,,,2.0,28.57%,1.0,14.29%,,,,,1.0,14.29%,,,3.0,42.86%,0,2,2,0.0,0.7,0.5,,,,,,,1.0,14.29%,,,1.0,14.29%,,,5.0,71.43%,1,0,1,1-0,1-3,,1-0,1,3,0,1,1,1,2,0,2,2,3,75.00%,1,25.00%,4,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 1, 0]",0.5
13,teams/statistics,[],11,1,2010,14,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,14,Serbia,https://media.api-sports.io/football/teams/14.png,"['L', 'W', 'L']",1,2,3,0,1,1,0,0,0,1,1,2,0,2,2,0.0,1.0,0.7,,,,,1.0,50.00%,,,,,1.0,50.00%,,,,,1,2,3,1.0,1.0,1.0,,,,,,,,,2.0,66.67%,1.0,33.33%,,,,,1,0,1,,0-1,0-1,2-1,0,1,1,2,0,1,1,1,0,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 1, 0]",0.33
14,teams/statistics,[],11,1,2010,15,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,15,Switzerland,https://media.api-sports.io/football/teams/15.png,"['W', 'L', 'D']",1,2,3,0,1,1,1,0,1,0,1,1,0,1,1,0.0,0.5,0.3,,,,,,,1.0,100.00%,,,,,,,,,0,1,1,0.0,0.5,0.3,,,,,,,,,1.0,100.00%,,,,,,,1,0,1,,0-1,,1-0,0,1,0,1,1,1,2,1,1,2,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 0]",0.33
15,teams/statistics,[],11,1,2010,16,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,16,Mexico,https://media.api-sports.io/football/teams/16.png,"['D', 'W', 'L', 'L']",1,3,4,0,1,1,0,1,1,1,1,2,0,4,4,0.0,1.3,1.0,,,,,,,,,2.0,50.00%,2.0,50.00%,,,,,1,4,5,1.0,1.3,1.3,,,1.0,20.00%,2.0,40.00%,2.0,40.00%,,,,,,,,,1,1,0,,0-2,0-1,3-1,0,2,1,3,0,1,1,1,0,1,1,100.00%,0,0%,1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 1, 0, 0]",0.25
16,teams/statistics,[],11,1,2010,17,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2010,17,South Korea,https://media.api-sports.io/football/teams/17.png,"['W', 'L', 'D', 'L']",1,3,4,1,0,1,0,1,1,0,2,2,2,4,6,2.0,1.3,1.5,1.0,14.29%,1.0,14.29%,2.0,28.57%,2.0,28.57%,1.0,14.29%,,,,,,,0,8,8,0.0,2.7,2.0,2.0,28.57%,,,1.0,14.29%,,,1.0,14.29%,3.0,42.86%,,,,,1,1,1,2-0,,,4-1,2,2,0,4,1,0,1,0,0,0,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 0, 0]",0.25
