Rank,Nation,Squad size,Avg. age,Total value,Confederation,Points
1,Belgium,26,26.1,€381.00m,UEFA,1828
2,Brazil,25,27.7,€899.50m,CONMEBOL,1823
3,France,22,26.9,€949.00m,UEFA,1786
4,Argentina,33,26.2,€581.70m,CONMEBOL,1767
5,England,27,25.2,€1.26bn,UEFA,1756
6,Italy,33,27.9,€856.00m,UEFA,1741
7,Spain,23,25.9,€798.00m,UEFA,1705
8,Portugal,25,27.2,€780.50m,UEFA,1660
9,Denmark,24,26.5,€302.50m,UEFA,1655
10,Netherlands,28,26.6,€661.50m,UEFA,1654
11,Germany,24,26.9,€773.50m,UEFA,1648
12,Mexico,29,27,€210.60m,CONCACAF,1648
13,USA,26,24.6,€228.00m,CONCACAF,1643
14,Switzerland,25,27.6,€247.40m,UEFA,1643
15,Croatia,25,27.7,€314.50m,UEFA,1621
16,Uruguay,27,27.6,€388.60m,CONMEBOL,1614
17,Sweden,25,28.6,€199.33m,UEFA,1588
18,Senegal,26,27.4,€335.15m,CAF,1588
19,Colombia,28,28.3,€300.10m,CONMEBOL,1586
20,Wales,26,25.9,€122.35m,UEFA,1578
21,Iran,27,28.1,€74.38m,AFC,1573
22,Peru,29,29.2,€59.58m,CONMEBOL,1563
23,Japan,27,28.4,€76.35m,AFC,1550
24,Morocco,26,27,€215.25m,CAF,1547
25,Serbia,24,26.9,€336.20m,UEFA,1547
26,Chile,29,29.1,€96.15m,CONMEBOL,1543
27,Ukraine,25,27.2,€194.30m,UEFA,1535
28,Poland,31,27.4,€293.00m,UEFA,1531
29,South Korea,25,27.4,€131.78m,AFC,1523
30,Austria,24,27.8,€267.70m,UEFA,1512
31,Czechia,23,27.2,€136.90m,UEFA,1510
32,Nigeria,25,26.3,€268.75m,CAF,1510
33,Canada,25,26.9,€112.25m,CONCACAF,1498
34,Egypt,23,27.6,€152.90m,CAF,1497
35,Russia,25,26.9,€121.30m,UEFA,1493
36,Tunisia,28,27.8,€62.00m,CAF,1490
37,Australia,28,27.7,€34.75m,AFC,1487
38,Cameroon,28,26.3,€128.25m,CAF,1481
39,Turkey,27,26,€310.60m,UEFA,1473
40,Scotland,25,27.1,€269.70m,UEFA,1472
41,Hungary,24,27,€106.10m,UEFA,1466
42,Costa Rica,27,27.2,€21.38m,CONCACAF,1464
43,Algeria,24,29.8,€145.25m,CAF,1461
44,Ecuador,28,25.8,€87.50m,CONMEBOL,1459
45,Norway,25,25.9,€324.20m,UEFA,1455
46,Slovakia,26,27,€136.00m,UEFA,1455
47,Romania,26,26.8,€84.55m,UEFA,1453
48,Mali,28,25.8,€175.23m,CAF,1446
49,Ireland,28,26.5,€86.90m,UEFA,1444
50,Paraguay,27,26.3,€97.35m,CONMEBOL,1441
51,Ivory Coast,25,27,€323.75m,CAF,1440
52,Qatar,23,26.7,€14.43m,AFC,1438
53,Saudi Arabia,26,26.8,€28.80m,AFC,1434
54,N. Ireland,25,26.7,€27.58m,UEFA,1425
55,Greece,24,26.3,€99.53m,UEFA,1422
56,Burkina Faso,29,24.5,€76.18m,CAF,1419
57,Finland,23,26.6,€39.53m,UEFA,1412
58,Venezuela,30,26.7,€81.70m,CONMEBOL,1411
59,Bosnia,23,26.6,€61.80m,UEFA,1391
60,Iceland,22,24.7,€7.35m,UEFA,1383
61,Ghana,27,25.5,€110.68m,CAF,1381
62,Jamaica,24,25.5,€40.43m,CONCACAF,1379
63,Panama,26,27.7,€16.35m,CONCACAF,1376
64,Slovenia,25,27,€110.03m,UEFA,1375
65,Albania,28,26.6,€100.90m,UEFA,1375
66,DR Congo,28,28.3,€92.38m,CAF,1370
68,South Africa,23,26.2,€15.80m,CAF,1358
69,U. A. E.,28,28.3,€18.00m,AFC,1353
70,El Salvador,21,26.9,€7.20m,CONCACAF,1346
71,Bulgaria,25,26.3,€19.50m,UEFA,1345
72,Montenegro,28,29.4,€56.98m,UEFA,1343
73,Cape Verde,33,26.8,€30.18m,CAF,1337
