,id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
36679,43939,68,Cyprus,CYP,471,471,0,UEFA,2010-02-03
36680,43845,67,Benin,BEN,483,532,8,CAF,2010-02-03
36681,43929,68,Peru,PER,471,471,0,CONMEBOL,2010-02-03
36682,43887,70,Togo,TOG,468,467,1,CAF,2010-02-03
36683,43838,100,Syria,SYR,331,347,9,AFC,2010-02-03
36684,999,72,Montenegro,MNE,456,456,2,UEFA,2010-02-03
36685,43891,73,Zambia,ZAM,449,380,11,CAF,2010-02-03
36686,43889,74,Uganda,UGA,447,455,1,CAF,2010-02-03
36687,44005,75,Uzbekistan,UZB,431,440,1,AFC,2010-02-03
36688,43904,71,El Salvador,SLV,463,413,7,CONCACAF,2010-02-03
36689,43935,66,Belgium,BEL,491,491,0,UEFA,2010-02-03
36690,43945,54,Finland,FIN,576,592,1,UEFA,2010-02-03
36691,44000,64,North Macedonia,MKD,495,495,1,UEFA,2010-02-03
36692,43817,63,IR Iran,IRN,499,508,1,AFC,2010-02-03
36693,43957,62,Lithuania,LTU,522,522,0,UEFA,2010-02-03
36694,43934,61,Austria,AUT,523,523,0,UEFA,2010-02-03
36695,43808,60,Bahrain,BHR,530,524,0,AFC,2010-02-03
36696,43835,59,Saudi Arabia,KSA,538,510,4,AFC,2010-02-03
36697,43899,57,Canada,CAN,567,573,1,CONCACAF,2010-02-03
36698,43962,57,Poland,POL,567,556,1,UEFA,2010-02-03
36699,43888,55,Tunisia,TUN,573,614,2,CAF,2010-02-03
36700,43923,55,Bolivia,BOL,573,573,1,CONMEBOL,2010-02-03
36701,43872,65,Morocco,MAR,492,477,2,CAF,2010-02-03
36702,43974,76,Wales,WAL,420,420,1,UEFA,2010-02-03
36703,43844,88,Angola,ANG,371,337,7,CAF,2010-02-03
36704,43969,1,Spain,ESP,1627,1627,0,UEFA,2010-02-03
36705,43869,53,Mali,MLI,598,662,6,CAF,2010-02-03
36706,43850,100,Cabo Verde,CPV,331,331,3,CAF,2010-02-03
36707,43859,98,Gambia,GAM,333,223,18,CAF,2010-02-03
36708,43839,98,Thailand,THA,333,296,7,AFC,2010-02-03
36709,43932,97,Albania,ALB,336,336,1,UEFA,2010-02-03
36710,44036,96,Moldova,MDA,338,338,2,UEFA,2010-02-03
36711,43908,95,Haiti,HAI,347,348,5,CONCACAF,2010-02-03
36712,43951,94,Iceland,ISL,349,346,2,UEFA,2010-02-03
36713,43831,93,Oman,OMA,352,410,14,AFC,2010-02-03
36714,43823,92,Kuwait,KUW,358,301,12,AFC,2010-02-03
36715,43914,77,Panama,PAN,406,469,7,CONCACAF,2010-02-03
36716,43879,91,Senegal,SEN,359,361,2,CAF,2010-02-03
36717,43834,89,Qatar,QAT,370,376,3,AFC,2010-02-03
36718,43812,87,China PR,CHN,373,340,6,AFC,2010-02-03
36719,43818,86,Iraq,IRQ,375,364,2,AFC,2010-02-03
36720,43821,85,Korea DPR,PRK,378,376,1,AFC,2010-02-03
36721,43920,84,Trinidad and Tobago,TRI,382,400,2,CONCACAF,2010-02-03
36722,43873,82,Mozambique,MOZ,384,462,10,CAF,2010-02-03
36723,43868,82,Malawi,MWI,384,326,17,CAF,2010-02-03
36724,43883,81,South Africa,RSA,391,377,4,CAF,2010-02-03
36725,43937,80,Belarus,BLR,397,406,0,UEFA,2010-02-03
36726,43978,79,New Zealand,NZL,400,400,3,OFC,2010-02-03
36727,43861,90,Guinea,GUI,361,458,17,CAF,2010-02-03
36728,43950,52,Hungary,HUN,615,613,2,UEFA,2010-02-03
36729,43984,27,Israel,ISR,823,823,1,UEFA,2010-02-03
36730,43822,49,Korea Republic,KOR,634,625,3,AFC,2010-02-03
36731,43854,22,Côte d'Ivoire,CIV,865,934,6,CAF,2010-02-03
36732,43930,21,Uruguay,URU,909,909,1,CONMEBOL,2010-02-03
36733,43849,20,Cameroon,CMR,914,1035,9,CAF,2010-02-03
36734,1902465,19,Serbia,SRB,916,916,0,UEFA,2010-02-03
36735,43971,18,Switzerland,SUI,924,924,0,UEFA,2010-02-03
36736,43911,17,Mexico,MEX,947,931,0,CONCACAF,2010-02-03
36737,43925,16,Chile,CHI,955,936,1,CONMEBOL,2010-02-03
36738,43876,15,Nigeria,NGA,956,848,7,CAF,2010-02-03
36739,43921,14,USA,USA,963,980,0,CONCACAF,2010-02-03
36740,43965,13,Russia,RUS,1026,1026,1,UEFA,2010-02-03
36741,43976,23,Australia,AUS,857,863,2,AFC,2010-02-03
36742,43949,12,Greece,GRE,1030,1016,1,UEFA,2010-02-03
36743,43855,10,Egypt,EGY,1069,832,14,CAF,2010-02-03
36744,43942,9,England,ENG,1076,1076,0,UEFA,2010-02-03
36745,43922,8,Argentina,ARG,1082,1085,0,CONMEBOL,2010-02-03
36746,43946,7,France,FRA,1117,1117,0,UEFA,2010-02-03
36747,43948,6,Germany,GER,1173,1173,0,UEFA,2010-02-03
36748,43963,5,Portugal,POR,1176,1176,0,UEFA,2010-02-03
36749,43954,4,Italy,ITA,1209,1209,0,UEFA,2010-02-03
36750,43960,3,Netherlands,NED,1288,1288,0,UEFA,2010-02-03
36751,43924,2,Brazil,BRA,1568,1568,0,CONMEBOL,2010-02-03
36752,43933,102,Armenia,ARM,321,321,2,UEFA,2010-02-03
36753,43938,11,Croatia,CRO,1053,1042,1,UEFA,2010-02-03
36754,43847,51,Burkina Faso,BFA,616,650,2,CAF,2010-02-03
36755,43973,24,Ukraine,UKR,848,848,2,UEFA,2010-02-03
36756,43941,26,Denmark,DEN,827,820,2,UEFA,2010-02-03
36757,43955,49,Latvia,LVA,634,677,4,UEFA,2010-02-03
36758,44037,48,Bosnia and Herzegovina,BIH,645,642,3,UEFA,2010-02-03
36759,43931,47,Venezuela,VEN,646,646,3,CONMEBOL,2010-02-03
36760,43967,46,Scotland,SCO,665,665,0,UEFA,2010-02-03
36761,43901,45,Costa Rica,CRC,699,701,1,CONCACAF,2010-02-03
36762,43858,44,Gabon,GAB,706,660,4,CAF,2010-02-03
36763,43970,43,Sweden,SWE,727,721,1,UEFA,2010-02-03
36764,43972,42,Turkey,TUR,728,728,1,UEFA,2010-02-03
36765,43819,40,Japan,JPN,729,709,3,AFC,2010-02-03
36766,43952,40,Northern Ireland,NIR,729,729,0,UEFA,2010-02-03
36767,43995,25,Czech Republic,CZE,828,828,0,UEFA,2010-02-03
36768,43926,39,Colombia,COL,736,736,0,CONMEBOL,2010-02-03
36769,43953,37,Republic of Ireland,IRL,746,746,2,UEFA,2010-02-03
36770,44002,36,Slovakia,SVK,752,752,3,UEFA,2010-02-03
36771,43927,35,Ecuador,ECU,753,738,2,CONMEBOL,2010-02-03
36772,43909,34,Honduras,HON,759,738,3,CONCACAF,2010-02-03
36773,43968,33,Slovenia,SVN,767,767,2,UEFA,2010-02-03
36774,43961,32,Norway,NOR,772,760,0,UEFA,2010-02-03
36775,43843,31,Algeria,ALG,784,823,5,CAF,2010-02-03
36776,43936,30,Bulgaria,BUL,801,801,0,UEFA,2010-02-03
36777,43928,29,Paraguay,PAR,806,806,0,CONMEBOL,2010-02-03
36778,43860,27,Ghana,GHA,823,747,7,CAF,2010-02-03
36779,43964,38,Romania,ROU,745,745,2,UEFA,2010-02-03
36780,43853,103,Congo,CGO,320,320,2,CAF,2010-02-03
36781,43910,78,Jamaica,JAM,403,403,3,CONCACAF,2010-02-03
36782,43943,104,Estonia,EST,315,308,2,UEFA,2010-02-03
36783,43900,179,Cayman Islands,CAY,39,36,4,CONCACAF,2010-02-03
36784,43882,179,Somalia,SOM,39,64,9,CAF,2010-02-03
36785,43824,179,Laos,LAO,39,44,1,AFC,2010-02-03
36786,43871,178,Mauritius,MRI,40,40,3,CAF,2010-02-03
36787,1896913,176,Comoros,COM,43,46,0,CAF,2010-02-03
36788,43895,176,Bahamas,BAH,43,43,4,CONCACAF,2010-02-03
36789,43880,175,Seychelles,SEY,44,44,3,CAF,2010-02-03
36790,20011,174,Turks and Caicos Islands,TCA,45,45,3,CONCACAF,2010-02-03
36791,44009,173,Cambodia,CAM,56,56,2,AFC,2010-02-03
36792,43989,172,Palestine,PLE,57,57,1,AFC,2010-02-03
36793,1882637,182,Samoa,SAM,38,38,0,OFC,2010-02-03
36794,43980,171,Solomon Islands,SOL,60,60,1,OFC,2010-02-03
