,Unnamed: 0,home_team.name,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,home_team.Rank,home_team_Avg. age,home_team.Total value,home_team.Points,home_Pl,home_Age,home_Poss,home_MP,home_Starts,home_Min,home_90s,home_Gls,home_Ast,home_G-PK,home_PK,home_PKatt,home_CrdY,home_CrdR,home_Gls.1,home_Ast.1,home_G+A,home_G-PK.1,home_G+A-PK,away_team.name,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %,away_team.Rank,away_team. age,away_team.Total value,away_team.Points,away_Pl,away_Age,away_Poss,away_MP,away_Starts,away_Min,away_90s,away_Gls,away_Ast,away_G-PK,away_PK,away_PKatt,away_CrdY,away_CrdR,away_Gls.1,away_Ast.1,away_G+A,away_G-PK.1,away_G+A-PK,match_result
0,0,France,4,4,9,1,6,3,21,0,0,39,3,0,1,344,280,81,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,Argentina,4,1,10,5,6,4,15,4,1,61,5,0,0,512,444,87,4,26.2,581700000.0,1767,20.0,27.8,59.85,5.333333333333333,58.66666666666666,510.0,5.666666666666667,7.333333333333333,3.0,7.333333333333333,0.0,0.3333333333333333,4.0,0.0,1.39,0.6233333333333334,2.0166666666666666,1.39,2.0166666666666666,1
1,1,Nigeria,3,5,9,1,4,5,20,3,0,33,2,0,2,283,186,66,32,26.3,268750000.0,1510,17.666666666666668,25.666666666666668,49.05,3.333333333333333,36.66666666666666,300.0,3.333333333333333,3.0,1.6666666666666667,2.333333333333333,0.6666666666666666,0.6666666666666666,4.0,0.0,0.9166666666666666,0.4733333333333333,1.39,0.6966666666666667,1.1666666666666667,Argentina,4,2,8,2,7,1,15,5,2,67,3,0,2,572,471,82,4,26.2,581700000.0,1767,20.0,27.8,59.85,5.333333333333333,58.66666666666666,510.0,5.666666666666667,7.333333333333333,3.0,7.333333333333333,0.0,0.3333333333333333,4.0,0.0,1.39,0.6233333333333334,2.0166666666666666,1.39,2.0166666666666666,2
2,2,France,5,8,19,6,12,7,6,4,1,36,2,0,3,345,289,84,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,Belgium,3,5,9,1,6,3,16,5,1,64,3,0,4,594,542,91,1,26.1,381000000.0,1828,20.5,26.65,52.75,6.0,66.0,555.0,6.15,10.5,8.0,10.0,0.5,0.5,1.5,0.0,1.635,1.23,2.865,1.565,2.79,1
3,3,Brazil,9,7,27,11,16,11,14,8,1,58,2,0,2,521,463,89,2,27.7,899500000.0,1823,19.33333333333333,28.23333333333333,56.0,5.666666666666667,62.333333333333336,520.0,5.766666666666667,9.333333333333334,5.333333333333333,9.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.6333333333333335,0.8766666666666666,2.51,1.586666666666667,2.4633333333333334,Belgium,3,4,9,2,4,5,16,4,0,42,2,0,9,374,301,80,1,26.1,381000000.0,1828,20.5,26.65,52.75,6.0,66.0,555.0,6.15,10.5,8.0,10.0,0.5,0.5,1.5,0.0,1.635,1.23,2.865,1.565,2.79,2
4,4,England,2,6,11,3,6,5,11,7,3,46,0,0,2,467,410,88,5,25.2,1260000000.0,1756,20.33333333333333,27.03333333333333,54.35,4.666666666666667,51.333333333333336,440.0,4.9,5.666666666666667,2.6666666666666665,4.666666666666667,1.0,1.0,3.333333333333333,0.0,0.9966666666666668,0.4833333333333334,1.4766666666666666,0.8633333333333333,1.346666666666667,Belgium,4,3,14,7,9,5,14,2,1,54,2,0,1,547,477,87,1,26.1,381000000.0,1828,20.5,26.65,52.75,6.0,66.0,555.0,6.15,10.5,8.0,10.0,0.5,0.5,1.5,0.0,1.635,1.23,2.865,1.565,2.79,2
5,5,France,6,0,7,1,2,5,13,2,1,34,2,0,2,289,198,69,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,Croatia,4,9,14,1,9,5,13,6,1,66,1,0,3,528,440,83,15,27.7,314500000.0,1621,19.0,28.5,52.95,5.0,55.0,495.0,5.5,9.0,5.5,8.5,0.5,1.0,4.0,0.5,1.645,1.0,2.645,1.585,2.585,1
6,6,Russia,5,7,13,1,10,3,25,6,1,35,1,0,1,400,259,65,35,26.9,121300000.0,1493,17.5,28.450000000000003,43.45,4.0,44.0,390.0,4.35,6.0,5.0,5.5,0.5,0.5,4.0,0.5,1.215,1.04,2.255,1.13,2.165,Croatia,3,11,18,4,12,6,18,8,0,65,4,0,3,728,592,81,15,27.7,314500000.0,1621,19.0,28.5,52.95,5.0,55.0,495.0,5.5,9.0,5.5,8.5,0.5,1.0,4.0,0.5,1.645,1.0,2.645,1.585,2.585,2
7,7,Argentina,3,3,10,4,8,2,16,5,3,57,3,0,2,499,397,80,4,26.2,581700000.0,1767,20.0,27.8,59.85,5.333333333333333,58.66666666666666,510.0,5.666666666666667,7.333333333333333,3.0,7.333333333333333,0.0,0.3333333333333333,4.0,0.0,1.39,0.6233333333333334,2.0166666666666666,1.39,2.0166666666666666,Croatia,5,6,14,3,7,7,22,2,3,43,4,0,3,367,278,76,15,27.7,314500000.0,1621,19.0,28.5,52.95,5.0,55.0,495.0,5.5,9.0,5.5,8.5,0.5,1.0,4.0,0.5,1.645,1.0,2.645,1.585,2.585,2
8,8,Iceland,6,8,16,2,12,4,10,10,1,38,3,0,0,314,226,72,60,24.7,7350000.0,1383,18.0,30.0,33.0,3.0,33.0,270.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.67,0.0,0.67,0.33,0.33,Croatia,2,8,14,4,4,10,11,5,2,62,2,0,5,518,447,86,15,27.7,314500000.0,1621,19.0,28.5,52.95,5.0,55.0,495.0,5.5,9.0,5.5,8.5,0.5,1.0,4.0,0.5,1.645,1.0,2.645,1.585,2.585,2
9,9,France,5,5,12,2,7,6,16,5,0,55,1,0,1,508,426,84,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,Australia,1,3,6,2,4,2,19,1,0,45,3,0,4,407,321,79,37,27.7,34750000.0,1487,17.0,28.0,47.7,3.0,33.0,270.0,3.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,6.666666666666667,0.6666666666666666,0.89,0.2233333333333333,1.1133333333333333,0.5566666666666666,0.7766666666666667,1
10,10,Denmark,5,5,10,0,7,3,7,3,1,47,2,0,3,453,388,86,9,26.5,302500000.0,1655,19.5,27.65,43.8,3.5,38.5,330.0,3.65,3.0,1.5,3.0,0.0,0.0,5.5,0.0,0.845,0.345,1.19,0.845,1.19,Australia,4,4,13,5,8,5,5,5,0,53,0,0,5,504,423,84,37,27.7,34750000.0,1487,17.0,28.0,47.7,3.0,33.0,270.0,3.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,6.666666666666667,0.6666666666666666,0.89,0.2233333333333333,1.1133333333333333,0.5566666666666666,0.7766666666666667,0
11,11,France,4,6,12,2,9,3,11,5,0,43,2,0,2,396,308,78,3,26.9,949000000.0,1786,19.666666666666668,26.4,50.8,5.0,55.0,450.0,5.0,7.0,4.0,5.666666666666667,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.2133333333333334,0.6866666666666666,1.9,1.0066666666666666,1.6900000000000002,Peru,2,6,10,2,3,7,15,3,1,57,2,0,3,513,416,81,22,29.2,59580000.0,1563,17.0,27.5,50.3,3.0,33.0,270.0,3.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,0.67,0.33,1.0,0.67,1.0,1
12,12,Australia,2,7,14,5,9,5,14,8,3,57,4,0,1,526,459,87,37,27.7,34750000.0,1487,17.0,28.0,47.7,3.0,33.0,270.0,3.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,6.666666666666667,0.6666666666666666,0.89,0.2233333333333333,1.1133333333333333,0.5566666666666666,0.7766666666666667,Peru,3,1,4,0,3,1,12,3,1,43,2,0,2,409,329,80,22,29.2,59580000.0,1563,17.0,27.5,50.3,3.0,33.0,270.0,3.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,0.67,0.33,1.0,0.67,1.0,2
13,13,Nigeria,4,6,16,6,7,9,9,6,1,61,1,0,3,488,394,81,32,26.3,268750000.0,1510,17.666666666666668,25.666666666666668,49.05,3.333333333333333,36.66666666666666,300.0,3.333333333333333,3.0,1.6666666666666667,2.333333333333333,0.6666666666666666,0.6666666666666666,4.0,0.0,0.9166666666666666,0.4733333333333333,1.39,0.6966666666666667,1.1666666666666667,Iceland,3,5,9,1,6,3,10,5,0,39,0,0,2,303,215,71,60,24.7,7350000.0,1383,18.0,30.0,33.0,3.0,33.0,270.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.67,0.0,0.67,0.33,0.33,1
14,14,Argentina,7,10,27,10,12,15,10,10,0,77,0,0,1,752,673,89,4,26.2,581700000.0,1767,20.0,27.8,59.85,5.333333333333333,58.66666666666666,510.0,5.666666666666667,7.333333333333333,3.0,7.333333333333333,0.0,0.3333333333333333,4.0,0.0,1.39,0.6233333333333334,2.0166666666666666,1.39,2.0166666666666666,Iceland,2,5,8,1,5,3,15,2,0,23,0,0,6,209,132,63,60,24.7,7350000.0,1383,18.0,30.0,33.0,3.0,33.0,270.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.67,0.0,0.67,0.33,0.33,0
15,15,Brazil,10,6,20,4,14,6,6,8,0,48,2,0,1,383,320,84,2,27.7,899500000.0,1823,19.33333333333333,28.23333333333333,56.0,5.666666666666667,62.333333333333336,520.0,5.766666666666667,9.333333333333334,5.333333333333333,9.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.6333333333333335,0.8766666666666666,2.51,1.586666666666667,2.4633333333333334,Mexico,1,5,14,8,7,7,17,7,2,52,4,0,8,406,350,86,12,27.0,210600000.0,1648,18.33333333333333,28.0,51.15,4.0,44.0,360.0,4.0,4.0,1.6666666666666667,3.333333333333333,0.6666666666666666,0.6666666666666666,6.0,0.0,1.0,0.4166666666666667,1.4166666666666667,0.8333333333333334,1.25,1
16,16,Germany,9,8,26,9,12,14,10,8,1,66,2,0,3,596,518,87,11,26.9,773500000.0,1648,20.0,26.266666666666666,64.95,5.666666666666667,62.333333333333336,530.0,5.9,12.0,4.666666666666667,11.666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,1.7700000000000002,0.7466666666666667,2.51,1.7266666666666668,2.466666666666667,Mexico,4,7,13,2,5,8,16,1,1,34,2,0,9,304,232,76,12,27.0,210600000.0,1648,18.33333333333333,28.0,51.15,4.0,44.0,360.0,4.0,4.0,1.6666666666666667,3.333333333333333,0.6666666666666666,0.6666666666666666,6.0,0.0,1.0,0.4166666666666667,1.4166666666666667,0.8333333333333334,1.25,2
17,17,Brazil,5,10,21,6,12,9,11,7,1,54,1,0,1,544,478,88,2,27.7,899500000.0,1823,19.33333333333333,28.23333333333333,56.0,5.666666666666667,62.333333333333336,520.0,5.766666666666667,9.333333333333334,5.333333333333333,9.0,0.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.6333333333333335,0.8766666666666666,2.51,1.586666666666667,2.4633333333333334,Switzerland,2,4,6,0,3,3,19,2,0,46,3,0,3,453,362,80,14,27.6,247400000.0,1643,17.666666666666668,26.73333333333333,53.3,3.6666666666666665,40.333333333333336,340.0,3.766666666666667,4.333333333333333,3.333333333333333,4.333333333333333,0.0,0.0,5.666666666666667,0.0,1.0666666666666669,0.7933333333333333,1.86,1.0666666666666669,1.86,0
